Ethereum,Ethereum,Ethereum
Date,Price,Volume
2/23/2016,6.23,203972
2/24/2016,5.93,301845
2/25/2016,6.03,94076
2/26/2016,6.31,190116
2/27/2016,6.5,88226
2/28/2016,6.35,104433
2/29/2016,7.59,429220
3/1/2016,8.7,467357
3/2/2016,9.35,862559
3/3/2016,9.96,908225
3/4/2016,11,1726260
3/5/2016,10.98,845841
3/6/2016,9.5,732233
3/7/2016,9.88,592001
3/8/2016,11.55,568223
3/9/2016,11.11,749105
3/10/2016,11.25,332692
3/11/2016,13.25,1669862
3/12/2016,15,1539173
3/13/2016,12.5,1909296
3/14/2016,13.09,978794
3/15/2016,12.92,593048
3/16/2016,11.14,1442272
3/17/2016,10.75,1629668
3/18/2016,10.55,512234
3/19/2016,10.06,469675
3/20/2016,11.97,819534
3/21/2016,10.96,727727
3/22/2016,12.29,654062
3/23/2016,11.13,749565
3/24/2016,10.69,555245
3/25/2016,11,265184
3/26/2016,10.5,465235
3/27/2016,11.58,711407
3/28/2016,11.73,472412
3/29/2016,11.88,644259
3/30/2016,11.41,469619
3/31/2016,11.63,230341
4/1/2016,11.61,109565
4/2/2016,11.58,143804
4/3/2016,11.1,368905
4/4/2016,10.39,848156
4/5/2016,10.79,347894
4/6/2016,10.08,499584
4/7/2016,9.74,345107
4/8/2016,9.16,582928
4/9/2016,8.8,1608160
4/10/2016,8.72,477247
4/11/2016,7.53,656699
4/12/2016,8.02,816613
4/13/2016,8.48,331212
4/14/2016,8.22,182732
4/15/2016,8.48,267873
4/16/2016,9.45,763315
4/17/2016,8.92,588238
4/18/2016,8.77,471842
4/19/2016,8.54,721266
4/20/2016,8.15,357687
4/21/2016,7.83,412692
4/22/2016,8.31,329479
4/23/2016,8,372438
4/24/2016,7.43,786134
4/25/2016,7.5,557777
4/26/2016,7.77,383755
4/27/2016,7.3,283192
4/28/2016,7.51,212926
4/29/2016,8.83,1391614
4/30/2016,8.76,396806
5/1/2016,10.03,1652336
5/2/2016,9.37,846402
5/3/2016,9.43,575918
5/4/2016,9.79,575232
5/5/2016,9.27,741537
5/6/2016,9.3,245436
5/7/2016,9.44,486475
5/8/2016,9.32,401181
5/9/2016,9.39,212391
5/10/2016,9.97,756859
5/11/2016,10.1,1270749
5/12/2016,10.48,1097388
5/13/2016,10.14,754171
5/14/2016,9.94,413310
5/15/2016,11.04,1547748
5/16/2016,12.26,2752386
5/17/2016,13.29,3335939
5/18/2016,14.49,2927687
5/19/2016,13.73,3107344
5/20/2016,13.95,1546478
5/21/2016,14.21,1270263
5/22/2016,13.45,1734447
5/23/2016,12.62,2893203
5/24/2016,12.53,1826871
5/25/2016,12.37,1301320
5/26/2016,11.11,3679168
5/27/2016,11.56,3181224
5/28/2016,12.28,2228732
5/29/2016,12.48,1065248
5/30/2016,13.85,3515815
5/31/2016,13.83,2302485
6/1/2016,13.78,1184334
6/2/2016,13.78,1686482
6/3/2016,13.66,1165878
6/4/2016,13.85,576616
6/5/2016,13.96,913782
6/6/2016,14.41,1831555
6/7/2016,14.44,2132214
6/8/2016,14.49,692699
6/9/2016,13.97,1773836
6/10/2016,14.01,799325
6/11/2016,15.57,4346663
6/12/2016,17.549999,7459518
6/13/2016,18.700001,11077976
6/14/2016,18.299999,3960403
6/15/2016,20.610001,10598002
6/16/2016,15.49,38835782
6/17/2016,11.36,20282268
6/18/2016,12.33,7516494
6/19/2016,11.7,7368783
6/20/2016,12.71,5196251
6/21/2016,13.21,20239842
6/22/2016,13.58,5979901
6/23/2016,14.25,5307462
6/24/2016,14.28,2233332
6/25/2016,13.82,1615035
6/26/2016,14.04,1241424
6/27/2016,12.15,7059267
6/28/2016,12.76,3155698
6/29/2016,12.4,1682614
6/30/2016,12.23,2146235
7/1/2016,12.04,837313
7/2/2016,11.85,1270392
7/3/2016,11.34,1827745
7/4/2016,10.45,6584753
7/5/2016,10.51,2068628
7/6/2016,10.07,1889826
7/7/2016,11.3,3259343
7/8/2016,10.92,2172756
7/9/2016,10.97,542703
7/10/2016,10.58,1754036
7/11/2016,10.54,987728
7/12/2016,10.44,836101
7/13/2016,11.55,3803996
7/14/2016,11.88,5989467
7/15/2016,11.59,1741687
7/16/2016,11.19,4958378
7/17/2016,11.03,2657743
7/18/2016,11.63,4055734
7/19/2016,12.54,11258732
7/20/2016,12.66,5314646
7/21/2016,14.82,14161594
7/22/2016,14.4,7061906
7/23/2016,12.63,13418374
7/24/2016,13.84,5674967
7/25/2016,12.08,10981872
7/26/2016,13.05,5077547
7/27/2016,12.87,3121650
7/28/2016,12.87,2029034
7/29/2016,12.57,2030259
7/30/2016,11.86,3358462
7/31/2016,11.04,3610696
8/1/2016,8.3,10863339
8/2/2016,10.42,4834647
8/3/2016,11.21,2985961
8/4/2016,11.05,1126449
8/5/2016,10.95,1043336
8/6/2016,10.98,1377540
8/7/2016,11.29,2281375
8/8/2016,12.22,4071702
8/9/2016,12.22,5255819
8/10/2016,11.68,3016560
8/11/2016,11.78,2065414
8/12/2016,11.56,1193514
8/13/2016,11.21,1638525
8/14/2016,11.21,1373317
8/15/2016,11.17,1261077
