Ethereum,Ethereum,Ethereum
Date,Price,Volume
2/15/2018,938.02002,282763877
2/16/2018,974.77002,276682460
2/17/2018,913.900024,375068724
2/18/2018,939.789978,218921662
2/19/2018,885.52002,344672330
2/20/2018,840.099976,445950029
2/21/2018,804.630005,362800754
2/22/2018,854.700012,340134173
2/23/2018,833.48999,255866976
2/24/2018,840.280029,171228507
2/25/2018,867.619995,247282448
2/26/2018,871.580017,201082786
2/27/2018,851.5,195669597
2/28/2018,869.869995,182033011
3/1/2018,855.599976,135957233
3/2/2018,855.650024,94471138
3/3/2018,864.830017,99578403
3/4/2018,849.419983,127303467
3/5/2018,815.690002,195875620
3/6/2018,751.130005,354361800
3/7/2018,698.830017,289838564
3/8/2018,726.919983,409323870
3/9/2018,682.299988,203802606
3/10/2018,720.359985,206098889
3/11/2018,697.02002,208107856
3/12/2018,689.960022,194913670
3/13/2018,613.150024,325415119
3/14/2018,610.559998,342311699
3/15/2018,600.530029,221082941
3/16/2018,549.789978,208843294
3/17/2018,537.380005,719812876
3/18/2018,555.549988,418500605
3/19/2018,557.570007,331343470
3/20/2018,559.909973,277714049
3/21/2018,539.890015,233985932
3/22/2018,543.830017,225200086
3/23/2018,520.159973,129350391
3/24/2018,523.01001,111462284
3/25/2018,486.25,278656813
3/26/2018,448.779999,328179170
3/27/2018,445.929993,187271233
3/28/2018,383.899994,472575968
3/29/2018,393.820007,450253373
3/30/2018,394.070007,243062846
3/31/2018,378.850006,236013242
4/1/2018,384.679993,156793473
4/2/2018,415.929993,223508235
4/3/2018,378.649994,223170178
4/4/2018,381.359985,160332018
4/5/2018,370.350006,133748822
4/6/2018,384.980011,108165642
4/7/2018,400.720001,107956653
4/8/2018,399.019989,271803047
4/9/2018,415.649994,129335600
4/10/2018,430.420013,167561896
4/11/2018,493.950012,450834363
4/12/2018,494.959991,470945268
4/13/2018,502.790009,191073028
4/14/2018,534.150024,243926045
4/15/2018,511.670013,249996040
